Name,Age,Gender,Major,Living_Area,Parent_Education,Scholarship_Status,Part_Time_Job,Extracurricular_Activities,Internet_Access,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Attendance_Rate,Stress_Level,Exam_Proximity,Math_Score,Science_Score,Language_Score,History_Score,Average_Score,Grade
Nancy Moore,25,Female,STEM,Rural,Master,Yes,No,Yes,Yes,5.8,7.86,86.8,2.2,No,93,90,77,92,88,A
Elizabeth Wilson,18,Female,Business,Urban,High School,No,No,Yes,Yes,7.05,7.27,63.4,1.7,No,87,77,80,82,82,B
Christopher Miller,19,Male,Humanities,Suburban,High School,No,Yes,Yes,Yes,1.77,7.01,80.3,8.0,Yes,52,62,62,63,60,C
Jennifer Harris,18,Female,STEM,Suburban,Master,No,No,No,No,6.85,5.32,93.2,3.9,No,84,84,73,61,76,B
Linda Thompson,21,Female,Humanities,Suburban,High School,No,No,Yes,Yes,7.18,8.97,68.2,1.8,No,69,73,79,93,79,B
Jordan Smith,24,Male,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,15.5,2.5,95.4,6.9,No,25,28,57,41,38,F
Sarah Williams,20,Female,Humanities,Urban,Bachelor,No,No,No,Yes,7.55,7.64,81.1,1.9,No,68,81,91,100,85,A
Sandra Wright,19,Female,Arts,Urban,Bachelor,No,Yes,Yes,Yes,0.5,5.25,83.4,5.0,No,56,52,60,57,56,C
Linda Harris,18,Female,STEM,Urban,Bachelor,No,No,No,Yes,9.78,6.77,81.8,2.6,No,77,85,82,83,82,B
Jennifer Scott,22,Female,Arts,Rural,Bachelor,No,Yes,No,Yes,3.29,7.35,81.1,3.9,No,64,60,83,83,73,B
Charles Flores,19,Male,STEM,Urban,Bachelor,No,No,No,No,2.73,7.39,62.9,5.9,Yes,71,72,54,62,65,C
Lisa Torres,24,Female,STEM,Urban,Bachelor,Yes,Yes,Yes,Yes,4.04,7.19,92.2,6.3,Yes,87,89,78,72,82,B
Richard Jones,25,Male,STEM,Rural,Bachelor,No,Yes,No,Yes,2.87,7.59,70.7,6.6,Yes,65,70,67,57,65,C
Robert Anderson,19,Male,Humanities,Urban,Bachelor,Yes,No,No,Yes,1.29,5.64,96.4,8.0,Yes,61,60,64,74,65,C
Karen Garcia,25,Female,Arts,Rural,High School,No,No,No,Yes,3.27,7.24,69.1,5.2,Yes,55,69,73,68,66,C
Joseph Miller,24,Male,STEM,Suburban,High School,No,No,No,Yes,2.21,7.14,71.0,2.6,No,66,70,61,53,63,C
Betty Moore,18,Female,Business,Rural,High School,No,No,No,Yes,2.33,7.28,82.9,4.1,No,68,58,73,71,68,C
Sandra White,24,Female,Business,Urban,High School,No,No,Yes,No,2.28,7.09,83.9,2.4,No,64,75,71,59,67,C
David White,19,Male,STEM,Urban,Bachelor,No,No,Yes,Yes,5.44,5.47,91.9,5.3,Yes,84,77,69,65,74,B
Daniel Wilson,22,Male,Arts,Suburban,Master,No,No,No,Yes,7.8,5.42,64.8,3.5,No,59,72,78,69,70,B
Thomas Jones,23,Male,STEM,Rural,Bachelor,No,No,No,Yes,2.59,4.34,77.5,5.0,No,58,48,41,54,50,D
Michelle Hernandez,19,Female,STEM,Suburban,Master,No,No,No,Yes,2.72,7.98,85.8,3.8,No,71,65,72,65,68,C
Emily Thomas,24,Female,Business,Urban,Bachelor,No,No,Yes,Yes,0.7,7.99,85.9,2.5,No,68,61,71,59,65,C
David Robinson,23,Male,STEM,Suburban,Bachelor,No,No,No,Yes,10.98,8.01,91.0,2.0,No,100,89,89,87,91,A
Betty Moore,24,Female,Arts,Suburban,Bachelor,No,No,No,Yes,4.49,7.37,83.0,2.4,No,62,64,89,74,72,B
Emily Anderson,22,Female,Business,Suburban,High School,No,No,No,Yes,6.32,4.44,61.8,3.2,No,57,61,61,45,56,C
Nancy Brown,24,Female,STEM,Suburban,High School,No,No,Yes,Yes,3.68,5.77,86.3,4.5,No,85,71,63,65,71,B
Jessica Williams,18,Female,Business,Rural,Bachelor,No,No,Yes,No,0.9,7.2,82.2,2.9,No,70,72,57,65,66,C
Christopher Sanchez,20,Male,STEM,Suburban,PhD,No,No,Yes,Yes,6.56,7.16,64.7,2.8,No,96,91,85,83,89,A
Sarah Jones,25,Female,Humanities,Urban,High School,Yes,No,Yes,Yes,9.24,6.73,80.2,2.4,No,74,93,88,91,87,A
Richard Torres,25,Male,Arts,Suburban,High School,No,Yes,No,Yes,1.52,7.44,65.8,3.8,No,51,67,64,63,61,C
Nancy Wilson,19,Female,Humanities,Urban,Master,No,No,No,Yes,1.88,7.01,88.8,4.1,No,73,62,68,73,69,C
Donald Sanchez,20,Male,Business,Suburban,High School,No,No,No,Yes,1.96,7.14,87.6,3.7,No,77,63,81,67,72,B
Mark Martinez,24,Male,STEM,Suburban,Master,No,Yes,No,Yes,6.54,6.23,83.7,2.8,No,83,87,71,70,78,B
Sarah Rodriguez,22,Female,Business,Urban,Bachelor,No,Yes,No,Yes,2.48,8.18,87.2,7.0,Yes,95,68,74,58,74,B
Joseph Scott,19,Male,Humanities,Urban,Master,No,Yes,No,Yes,6.19,6.48,76.5,3.8,No,81,78,96,96,88,A
Paul Taylor,24,Male,Business,Urban,Bachelor,No,No,No,Yes,4.14,5.4,73.0,4.5,No,58,54,61,55,57,C
Andrew Ramirez,23,Male,Humanities,Rural,Bachelor,No,No,Yes,Yes,5.91,6.07,80.1,4.4,Yes,72,67,96,95,83,B
Andrew Sanchez,21,Male,Humanities,Rural,Bachelor,No,Yes,Yes,Yes,1.46,6.58,68.3,4.8,No,58,70,78,66,68,C
Daniel Anderson,24,Male,STEM,Urban,Bachelor,No,No,Yes,Yes,2.06,8.19,91.6,3.1,No,67,77,65,68,69,C
William Allen,20,Male,STEM,Rural,Bachelor,No,No,Yes,Yes,5.92,6.95,85.7,2.8,No,90,90,81,69,83,B
Ashley Garcia,19,Female,Business,Suburban,High School,No,Yes,No,Yes,5.5,6.78,87.3,7.5,Yes,76,64,75,73,72,B
Patricia Davis,20,Female,Arts,Urban,Bachelor,No,Yes,Yes,Yes,0.5,5.5,82.8,6.9,Yes,39,47,57,52,49,D
Elizabeth Hernandez,19,Female,Humanities,Urban,Bachelor,No,Yes,No,Yes,6.52,7.94,60.3,5.1,No,73,63,76,75,72,B
Margaret Hill,24,Female,Humanities,Suburban,Master,No,Yes,Yes,No,8.77,6.22,53.5,4.5,No,77,68,86,95,82,B
Jennifer Harris,18,Female,Arts,Suburban,Bachelor,No,Yes,No,Yes,1.11,6.88,82.1,6.1,No,52,62,75,69,65,C
Betty Hill,23,Female,STEM,Suburban,Bachelor,No,No,Yes,Yes,2.35,8.78,74.6,3.2,No,74,78,57,58,67,C
Mark King,24,Male,Business,Urban,High School,No,Yes,No,Yes,0.88,7.61,93.6,4.7,No,61,72,59,53,61,C
Sarah Scott,25,Female,STEM,Urban,Bachelor,No,No,No,Yes,3.83,5.05,96.5,2.8,No,66,76,65,68,69,C
Mary Davis,20,Female,Humanities,Suburban,Bachelor,No,No,Yes,Yes,3.31,4.88,98.9,3.5,No,66,53,68,81,67,C
Paul Moore,21,Male,Arts,Urban,Master,No,Yes,No,Yes,0.85,6.92,97.0,6.3,No,54,66,68,61,62,C
Nancy Davis,21,Female,Business,Urban,Master,No,No,Yes,Yes,4.22,5.54,55.2,4.7,No,68,58,67,65,65,C
Charles Ramirez,22,Male,STEM,Urban,High School,No,No,Yes,Yes,0.91,7.78,70.0,2.7,No,71,59,60,54,61,C
Barbara Robinson,19,Female,Business,Rural,Master,No,No,Yes,Yes,2.29,7.05,89.4,1.0,No,78,75,78,82,78,B
James Taylor,20,Male,Arts,Rural,High School,Yes,Yes,Yes,Yes,0.5,7.2,58.5,4.8,No,59,62,62,57,60,C
Steven Lopez,22,Male,Business,Suburban,Bachelor,No,No,Yes,Yes,10.66,6.15,79.4,4.6,Yes,90,80,85,74,82,B
Kimberly Miller,20,Female,STEM,Rural,Bachelor,No,Yes,No,Yes,8.01,9.09,71.1,2.9,No,83,81,77,75,79,B
Karen Allen,25,Female,Business,Urban,High School,No,No,Yes,Yes,6.1,10.41,71.4,1.7,No,76,55,71,58,65,C
Joshua Gonzalez,19,Male,Humanities,Suburban,Bachelor,Yes,Yes,Yes,Yes,1.17,6.67,86.6,5.8,No,56,60,81,72,67,C
William White,24,Male,STEM,Urban,High School,Yes,Yes,Yes,Yes,0.5,7.42,73.8,5.6,No,76,70,56,64,67,C
David Wright,24,Male,STEM,Suburban,High School,No,No,No,Yes,4.09,7.12,67.7,3.3,No,78,70,77,65,73,B
Steven Smith,21,Male,STEM,Rural,Bachelor,No,No,Yes,No,5.23,6.69,40.6,4.0,Yes,73,68,71,65,69,C
Michelle Lee,24,Female,Business,Suburban,Bachelor,No,No,Yes,Yes,2.61,6.0,83.7,3.3,No,77,63,78,72,73,B
Ashley Johnson,24,Female,Business,Urban,Master,No,Yes,Yes,Yes,3.89,5.7,88.3,6.9,No,70,58,77,57,66,C
Linda White,25,Female,Arts,Suburban,Bachelor,No,No,No,Yes,1.95,5.64,40.0,4.2,No,47,46,65,53,53,D
Charles Thomas,18,Male,STEM,Urban,Bachelor,No,Yes,No,Yes,1.48,7.49,72.2,7.5,Yes,71,61,62,67,65,C
Robert Thomas,21,Male,Arts,Rural,Bachelor,No,No,No,No,3.55,6.38,78.9,6.1,Yes,49,60,86,67,66,C
Donna Garcia,22,Female,Business,Suburban,High School,No,Yes,Yes,Yes,8.95,3.91,63.0,5.3,No,61,60,61,45,57,C
Jennifer Young,23,Female,Arts,Suburban,High School,Yes,Yes,Yes,Yes,0.5,7.53,92.4,2.9,No,66,51,72,79,67,C
Jennifer Wright,18,Female,Humanities,Suburban,Bachelor,No,Yes,No,Yes,3.33,6.95,91.7,4.4,No,64,62,84,73,71,B
Elizabeth Rodriguez,22,Female,STEM,Suburban,Bachelor,No,Yes,No,Yes,0.5,8.62,90.1,4.3,No,57,66,55,47,56,C
Donald Scott,19,Male,Business,Urban,Bachelor,No,No,No,Yes,2.03,7.45,91.3,4.1,No,76,68,70,64,70,B
David Taylor,18,Male,Arts,Suburban,Bachelor,No,No,No,Yes,2.61,5.23,81.6,6.5,Yes,53,60,61,64,60,C
Steven Hill,25,Male,Arts,Urban,Bachelor,No,Yes,Yes,Yes,1.76,4.32,92.0,4.6,No,50,55,59,51,54,D
Margaret Wilson,22,Female,Business,Suburban,High School,No,Yes,Yes,Yes,8.33,6.14,57.5,4.5,No,76,73,90,68,77,B
Emily Gonzalez,19,Female,Business,Rural,High School,Yes,No,No,Yes,2.85,6.25,78.5,2.8,No,78,65,74,76,73,B
Charles Sanchez,21,Male,Humanities,Rural,Master,No,No,No,Yes,7.72,8.13,67.6,1.0,No,82,70,87,98,84,B
Daniel Lewis,23,Male,STEM,Suburban,Bachelor,No,No,No,Yes,10.4,6.99,65.5,1.4,No,94,86,76,83,85,A
Steven Lewis,19,Male,STEM,Suburban,Master,No,No,Yes,Yes,5.73,8.36,51.1,2.6,No,90,84,88,76,85,A
Michael Thomas,24,Male,Business,Urban,High School,No,No,No,Yes,7.2,5.41,58.3,4.2,No,68,58,64,65,64,C
Jessica Jones,20,Female,Business,Suburban,PhD,No,No,No,Yes,3.83,8.16,57.2,2.9,No,73,79,85,73,78,B
Christopher Johnson,19,Male,STEM,Urban,High School,No,Yes,No,Yes,2.95,7.87,86.1,4.8,No,66,70,72,59,67,C
Donna Scott,19,Female,STEM,Suburban,High School,No,No,Yes,Yes,5.86,4.58,82.9,6.6,Yes,73,70,59,52,64,C
Jessica Nguyen,23,Female,STEM,Urban,PhD,No,No,Yes,No,2.59,8.59,92.9,2.7,No,81,83,77,64,76,B
Jessica Smith,20,Female,Humanities,Urban,High School,No,No,Yes,Yes,2.37,7.11,82.2,3.8,No,62,64,79,70,69,C
Jennifer Brown,24,Female,STEM,Suburban,Bachelor,No,No,No,Yes,3.46,7.47,91.8,1.0,No,76,88,64,79,77,B
Joseph Jones,22,Male,STEM,Urban,High School,No,Yes,No,Yes,0.81,5.96,70.1,5.5,No,55,47,46,50,50,D
Patricia Perez,22,Female,STEM,Suburban,Bachelor,No,Yes,No,Yes,1.63,8.53,92.5,5.9,Yes,66,69,65,57,64,C
John Allen,19,Male,Arts,Urban,Master,No,No,Yes,Yes,2.23,5.58,83.0,7.3,Yes,50,56,77,76,65,C
Joseph Moore,25,Male,STEM,Urban,High School,No,Yes,No,Yes,7.64,8.0,73.0,3.4,No,72,91,75,77,79,B
Ashley Wilson,25,Female,Arts,Suburban,Bachelor,No,Yes,No,Yes,5.02,7.98,92.8,4.0,No,64,61,87,75,72,B
Emily Rodriguez,20,Female,STEM,Urban,High School,No,Yes,Yes,Yes,12.58,5.83,74.9,2.5,No,85,86,85,80,84,B
Andrew Torres,20,Male,Humanities,Urban,Bachelor,No,No,Yes,Yes,1.86,9.38,90.6,5.7,Yes,63,62,66,68,65,C
Ashley Thomas,24,Female,STEM,Suburban,High School,Yes,Yes,No,No,3.74,7.28,60.1,4.9,No,69,71,57,63,65,C
Ashley Clark,23,Female,Arts,Urban,High School,Yes,No,No,Yes,2.67,7.78,98.0,3.3,No,72,64,89,79,76,B
Susan Miller,21,Female,Humanities,Rural,High School,No,No,No,Yes,2.02,5.17,54.0,3.4,No,49,37,45,57,47,D
Linda Ramirez,22,Female,Business,Urban,High School,No,No,Yes,Yes,6.72,9.54,71.4,3.5,Yes,80,65,86,73,76,B
Daniel Ramirez,23,Male,Arts,Urban,Master,No,No,Yes,Yes,4.89,5.53,73.7,3.6,No,58,67,94,69,72,B
Anthony Robinson,18,Male,STEM,Suburban,Bachelor,No,No,No,Yes,3.32,8.23,40.1,2.1,No,74,69,66,68,69,C
Robert Miller,22,Male,STEM,Urban,High School,No,No,No,Yes,4.82,5.81,94.1,3.7,No,75,84,81,66,77,B
Robert Sanchez,23,Male,Business,Urban,Bachelor,No,No,Yes,Yes,2.43,6.26,71.9,4.3,Yes,75,60,70,63,67,C
Christopher Miller,22,Male,Humanities,Urban,High School,No,Yes,Yes,Yes,0.62,7.95,48.3,4.2,No,55,58,59,69,60,C
Jessica Gonzalez,21,Female,Business,Urban,Bachelor,No,Yes,No,Yes,1.6,8.23,59.4,8.3,Yes,67,58,55,49,57,C
Richard Wright,18,Male,Business,Rural,PhD,No,No,No,Yes,9.2,5.47,71.2,3.2,No,79,82,77,80,80,B
Mark Rodriguez,25,Male,Business,Urban,Bachelor,No,Yes,No,Yes,6.06,8.31,91.0,3.8,No,76,80,83,83,81,B
Anthony Lopez,25,Male,Arts,Suburban,Master,No,Yes,No,Yes,1.49,8.25,90.5,8.5,Yes,61,66,76,66,67,C
Thomas Robinson,21,Male,STEM,Rural,Bachelor,No,Yes,Yes,Yes,8.09,5.87,68.1,5.0,Yes,76,77,60,64,69,C
Jessica Jones,24,Female,Business,Suburban,High School,No,No,Yes,Yes,4.04,8.92,81.0,1.6,No,78,67,76,73,74,B
Sandra Scott,18,Female,Humanities,Rural,Bachelor,Yes,Yes,Yes,Yes,4.1,5.25,88.9,4.9,No,65,60,78,73,69,C
Linda Brown,19,Female,STEM,Urban,Bachelor,No,Yes,No,Yes,0.74,6.25,90.1,6.0,No,61,71,53,64,62,C
Emily Smith,23,Female,Business,Rural,Bachelor,No,Yes,Yes,Yes,2.29,7.57,84.1,5.2,No,82,63,67,66,70,B
John Thomas,18,Male,STEM,Urban,Master,No,No,No,Yes,2.88,5.98,86.6,2.9,No,84,74,72,72,76,B
David Clark,24,Male,Arts,Suburban,Bachelor,Yes,No,No,Yes,2.56,7.32,83.1,3.9,No,59,64,84,78,71,B
Ashley Walker,24,Female,STEM,Suburban,Master,No,No,No,Yes,8.11,7.29,85.4,1.9,No,90,92,82,71,84,B
Richard Sanchez,21,Male,Arts,Urban,Master,No,No,No,Yes,7.4,6.78,94.3,3.5,No,78,75,75,89,79,B
Patricia Hernandez,22,Female,Business,Suburban,Bachelor,No,No,Yes,Yes,5.33,8.0,98.0,1.6,No,85,91,86,74,84,B
Betty Smith,18,Female,STEM,Suburban,Bachelor,No,No,No,Yes,3.2,6.73,88.2,3.1,No,81,74,64,70,72,B
Betty Taylor,23,Female,Business,Urban,High School,No,Yes,No,Yes,0.5,7.28,74.4,4.5,No,52,44,69,56,55,C
Sandra Jackson,18,Female,Business,Urban,PhD,No,Yes,No,Yes,7.97,8.38,85.6,4.2,No,87,81,92,87,87,A
Anthony Scott,20,Male,Humanities,Suburban,Bachelor,No,No,No,Yes,6.76,7.95,69.0,1.8,No,69,75,83,85,78,B
Ashley Martinez,22,Female,STEM,Suburban,High School,No,Yes,No,Yes,0.5,7.94,75.0,4.6,No,61,60,57,54,58,C
Richard Jackson,23,Male,Arts,Rural,High School,Yes,No,No,Yes,6.56,5.62,81.4,3.6,No,57,62,80,90,72,B
Richard Brown,25,Male,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,1.76,7.63,85.5,5.0,No,69,73,62,60,66,C
Donna Wright,23,Female,Humanities,Rural,High School,No,Yes,No,Yes,4.84,5.95,92.9,5.5,No,65,72,78,71,72,B
Robert Lee,19,Male,Humanities,Suburban,High School,No,Yes,No,Yes,0.5,5.46,94.5,8.3,Yes,61,45,49,61,54,D
Robert Brown,21,Male,Arts,Urban,Bachelor,No,Yes,No,Yes,0.86,6.91,98.4,4.7,No,53,69,64,75,65,C
Donna Walker,19,Female,Humanities,Urban,High School,Yes,No,Yes,Yes,4.34,5.91,75.4,3.1,No,70,77,93,75,79,B
Kimberly King,23,Female,Arts,Suburban,Bachelor,No,Yes,No,Yes,8.1,7.95,84.4,3.5,No,80,68,83,82,78,B
Barbara Brown,22,Female,Business,Suburban,High School,No,No,No,Yes,4.35,7.98,96.2,5.3,Yes,79,69,75,70,73,B
Kimberly Garcia,18,Female,STEM,Urban,High School,No,Yes,No,Yes,5.24,4.72,92.8,5.1,No,71,71,65,68,69,C
Barbara Jones,25,Female,Business,Urban,Bachelor,No,Yes,No,Yes,3.59,6.01,89.3,7.5,Yes,68,59,72,55,64,C
Joshua Jones,18,Male,STEM,Rural,Bachelor,No,Yes,No,Yes,3.16,5.25,60.5,4.1,No,59,69,55,47,58,C
Joseph Sanchez,22,Male,Humanities,Suburban,High School,No,No,Yes,Yes,5.49,6.44,89.4,6.0,Yes,60,69,88,88,76,B
Linda Torres,23,Female,Business,Suburban,High School,No,Yes,Yes,Yes,1.75,7.55,67.6,4.8,No,67,73,66,60,67,C
Jessica Nguyen,24,Female,Business,Suburban,Bachelor,Yes,No,No,Yes,6.34,6.71,91.4,3.6,No,72,77,93,89,83,B
Joshua Williams,18,Male,STEM,Urban,High School,No,No,Yes,Yes,2.11,6.29,75.4,6.1,Yes,63,71,66,58,65,C
Michelle Garcia,24,Female,STEM,Urban,High School,No,Yes,Yes,Yes,2.88,8.56,53.0,2.7,No,57,73,67,55,63,C
Margaret Nguyen,18,Female,STEM,Urban,High School,No,No,No,Yes,10.31,4.23,90.3,2.9,No,73,68,50,70,65,C
Donna King,18,Female,Arts,Urban,Master,No,Yes,No,Yes,7.91,8.48,65.3,3.2,No,70,83,92,82,82,B
Christopher Taylor,25,Male,STEM,Suburban,Master,No,No,No,Yes,6.49,6.35,97.7,3.5,No,89,93,84,78,86,A
Susan Lee,21,Female,Humanities,Suburban,Master,No,No,No,Yes,7.87,6.91,74.9,3.3,Yes,83,74,84,89,83,B
Joseph Taylor,21,Male,Business,Rural,Bachelor,No,Yes,Yes,Yes,6.97,6.37,76.4,4.3,No,84,68,75,78,76,B
Matthew Rodriguez,20,Male,STEM,Rural,Bachelor,No,No,Yes,Yes,1.05,8.85,90.4,5.6,Yes,66,67,57,67,64,C
Karen Robinson,19,Female,Arts,Urban,Bachelor,No,No,Yes,Yes,3.51,5.52,69.0,5.6,Yes,63,52,66,72,63,C
Christopher Jones,22,Male,Arts,Suburban,Bachelor,Yes,Yes,Yes,Yes,1.52,7.01,56.2,4.9,No,61,61,65,65,63,C
Mary Robinson,22,Female,Business,Suburban,High School,No,No,No,Yes,1.65,7.63,89.8,2.6,No,67,65,80,59,68,C
Joshua Torres,22,Male,Arts,Rural,Bachelor,No,No,No,Yes,11.1,5.07,84.7,4.6,Yes,61,70,90,72,73,B
Michael Jones,20,Male,Humanities,Urban,Master,No,No,Yes,Yes,6.22,5.9,48.7,2.8,No,77,68,77,71,73,B
Paul Wilson,21,Male,Arts,Suburban,Bachelor,No,Yes,No,Yes,5.44,6.82,84.0,6.3,Yes,68,67,81,71,72,B
Kimberly Taylor,23,Female,Humanities,Suburban,Bachelor,No,Yes,Yes,Yes,1.63,5.94,67.7,5.8,No,53,52,64,61,58,C
William Thompson,24,Male,Humanities,Urban,High School,No,Yes,Yes,Yes,2.0,6.02,84.3,4.6,No,50,76,62,71,65,C
Jennifer Thomas,25,Female,STEM,Urban,Bachelor,No,No,Yes,Yes,4.1,6.58,94.0,4.9,Yes,72,71,73,71,72,B
Lisa Jackson,24,Female,Humanities,Suburban,Bachelor,No,Yes,Yes,Yes,3.34,7.78,88.0,5.7,No,75,70,79,74,75,B
Barbara Lewis,23,Female,STEM,Suburban,Master,No,Yes,No,Yes,5.29,6.59,93.4,5.2,No,93,90,66,72,80,B
Paul Martin,25,Male,Humanities,Urban,High School,No,Yes,Yes,Yes,0.5,8.29,80.5,3.0,No,57,54,71,71,63,C
Joshua King,20,Male,Arts,Suburban,Master,No,No,Yes,Yes,7.29,5.8,64.9,4.9,Yes,66,69,92,86,78,B
Mary Scott,23,Female,Humanities,Urban,Bachelor,No,Yes,No,Yes,1.98,5.5,77.8,5.6,No,54,43,65,67,57,C
Charles Miller,22,Male,Humanities,Suburban,Master,No,Yes,Yes,Yes,8.56,9.31,90.3,3.1,No,62,80,90,91,81,B
Elizabeth Taylor,19,Female,Humanities,Urban,Bachelor,No,No,No,Yes,8.11,6.21,76.2,1.5,No,69,74,97,85,81,B
Michael Miller,18,Male,Business,Rural,Bachelor,No,No,Yes,Yes,4.83,5.43,73.0,4.4,No,78,61,77,66,71,B
Emily Martinez,24,Female,STEM,Urban,Bachelor,No,Yes,No,Yes,1.93,4.91,40.0,6.3,No,51,49,47,26,43,D
Thomas Jackson,21,Male,STEM,Urban,Bachelor,No,No,No,Yes,3.44,8.29,68.2,3.0,No,67,78,54,61,65,C
Michelle Wilson,21,Female,Arts,Urban,PhD,No,Yes,No,Yes,4.92,6.59,61.8,5.6,No,63,62,75,77,69,C
Christopher Wilson,20,Male,STEM,Urban,High School,No,Yes,Yes,Yes,5.9,6.7,98.1,7.2,Yes,89,77,69,66,75,B
Sarah Allen,25,Female,Business,Suburban,High School,No,No,No,Yes,4.25,6.81,96.5,3.4,No,63,72,84,77,74,B
Ashley Taylor,21,Female,STEM,Urban,Master,No,No,No,Yes,3.72,8.22,90.4,3.8,No,77,74,72,74,74,B
Patricia Garcia,22,Female,Humanities,Rural,Bachelor,No,No,No,Yes,4.19,6.78,66.8,6.4,Yes,63,63,80,68,69,C
Anthony Moore,24,Male,Business,Urban,Bachelor,No,Yes,Yes,Yes,2.54,9.81,93.0,2.9,No,68,73,69,56,67,C
Robert Smith,23,Male,Humanities,Urban,Bachelor,No,No,No,Yes,2.02,7.16,93.2,6.2,Yes,57,55,74,67,63,C
Nancy Rodriguez,22,Female,STEM,Urban,High School,No,Yes,No,Yes,0.5,8.27,79.2,4.0,No,63,57,41,54,54,D
Thomas Hernandez,20,Male,Humanities,Urban,Master,No,No,Yes,Yes,3.6,7.97,82.5,3.1,No,73,75,81,80,77,B
Mark Scott,22,Male,Humanities,Urban,Bachelor,Yes,No,No,Yes,9.06,6.96,77.6,2.6,No,84,90,96,98,92,A
Anthony Scott,23,Male,Arts,Suburban,High School,No,No,Yes,Yes,7.65,6.3,76.4,1.6,No,69,66,94,91,80,B
James Davis,19,Male,Business,Suburban,High School,No,No,No,Yes,1.45,7.4,66.3,3.1,No,68,57,68,63,64,C
Jennifer Martinez,20,Female,Business,Suburban,Master,No,Yes,Yes,Yes,1.21,7.61,81.6,4.9,No,81,70,71,57,70,B
Emily Williams,19,Female,STEM,Suburban,High School,No,No,No,Yes,6.16,6.31,74.4,2.6,No,81,82,75,76,79,B
Daniel Nguyen,18,Male,Arts,Suburban,Master,No,No,No,Yes,4.52,7.2,87.8,3.1,No,68,85,75,85,78,B
Paul Martinez,19,Male,Arts,Urban,High School,No,No,Yes,Yes,5.28,8.48,85.6,2.9,No,63,60,83,73,70,B
Anthony Rodriguez,18,Male,STEM,Suburban,Bachelor,No,No,No,Yes,1.5,9.48,77.7,2.4,No,64,65,64,46,60,C
Patricia Martin,18,Female,Arts,Rural,Master,No,No,Yes,Yes,5.0,8.03,70.0,2.6,No,75,74,93,81,81,B
Lisa Williams,19,Female,STEM,Suburban,Bachelor,No,Yes,No,Yes,1.83,9.24,86.9,5.0,No,58,59,50,59,57,C
Daniel Wilson,20,Male,STEM,Suburban,Bachelor,Yes,No,No,Yes,6.79,6.24,68.6,3.3,No,95,83,79,64,80,B
Joseph Miller,25,Male,STEM,Urban,Bachelor,No,No,No,Yes,5.11,7.84,95.9,2.7,No,88,91,67,72,80,B
Daniel Scott,23,Male,Humanities,Suburban,High School,Yes,No,Yes,Yes,4.46,8.61,88.8,1.5,No,80,58,97,91,82,B
Anthony Flores,22,Male,Arts,Suburban,High School,No,Yes,No,Yes,0.5,5.92,91.1,6.0,No,50,46,47,59,51,D
William Thomas,22,Male,Humanities,Suburban,PhD,No,No,No,Yes,11.41,6.42,98.0,2.4,No,87,87,100,100,94,A
